iter	Logloss
0	0.6768509502
1	0.6633913026
2	0.6517844174
3	0.6400532864
4	0.6292793527
5	0.6195400166
6	0.6100841758
7	0.6006754424
8	0.5920210827
9	0.5845381284
10	0.57723994
11	0.5711959877
12	0.5649972351
13	0.5599314822
14	0.5546475956
15	0.5500745737
16	0.545675555
17	0.5409925175
18	0.5378425334
19	0.5346241126
20	0.5312557985
21	0.5287169355
22	0.525504305
23	0.5230442488
24	0.5199867131
25	0.5175123611
26	0.515184533
27	0.5128900399
28	0.5105980658
29	0.5084464327
30	0.5061258342
31	0.5040793096
32	0.5020850939
33	0.5000583609
34	0.4984177128
35	0.4968514553
36	0.4950456367
37	0.4938112904
38	0.4922807233
39	0.4908294864
40	0.4892717344
41	0.4882135831
42	0.4870688065
43	0.4860522995
44	0.4846943289
45	0.4839772814
46	0.4830400392
47	0.4822670517
48	0.4813982135
49	0.4804506993
50	0.4796362637
51	0.4790185344
52	0.4782590902
53	0.4776504553
54	0.4771416294
55	0.4763500932
56	0.4754922795
57	0.474679087
58	0.4741508946
59	0.4736037938
60	0.4732609889
61	0.4726704773
62	0.4720111692
63	0.471500544
64	0.4707639992
65	0.4699824734
66	0.469553861
67	0.468756371
68	0.4682611538
69	0.467798781
70	0.4672792904
71	0.4667985327
72	0.4663968107
73	0.4659089868
74	0.4654728503
75	0.465030629
76	0.4647330669
77	0.464293201
78	0.4637646161
79	0.4632381902
80	0.4627871363
81	0.4622273427
82	0.4619624941
83	0.4615456258
84	0.46131529
85	0.4609791913
86	0.4602821645
87	0.4597845593
88	0.4595078684
89	0.4590079078
90	0.4586511015
91	0.4582425751
92	0.4580345172
93	0.4572160251
94	0.4569205567
95	0.4562304324
96	0.4557576894
97	0.4554180905
98	0.4551165373
99	0.4547974824
