iter	Passed	Remaining
0	2	251
1	5	246
2	7	234
3	9	220
4	11	213
5	13	211
6	15	211
7	18	208
8	20	207
9	22	203
10	24	200
11	26	197
12	29	195
13	31	193
14	33	190
15	35	187
16	38	186
17	40	183
18	42	180
19	44	178
20	46	176
21	49	174
22	51	171
23	53	168
24	55	166
25	57	163
26	59	162
27	62	159
28	64	157
29	66	154
30	68	153
31	70	150
32	73	148
33	75	146
34	77	144
35	79	141
36	81	139
37	83	136
38	85	134
39	88	132
40	90	129
41	92	127
42	94	125
43	96	123
44	98	120
45	100	118
46	102	115
47	104	113
48	106	111
49	109	109
50	111	107
51	114	105
52	116	103
53	118	100
54	120	98
55	122	96
56	124	93
57	126	91
58	128	89
59	130	87
60	132	84
61	134	82
62	137	80
63	139	78
64	141	76
65	143	74
66	145	71
67	148	69
68	150	67
69	152	65
70	154	63
71	156	60
72	158	58
73	160	56
74	162	54
75	165	52
76	167	49
77	169	47
78	171	45
79	173	43
80	175	41
81	177	39
82	180	36
83	182	34
84	184	32
85	186	30
86	189	28
87	191	26
88	193	23
89	195	21
90	197	19
91	200	17
92	202	15
93	204	13
94	206	10
95	208	8
96	210	6
97	212	4
98	214	2
99	216	0
